winningTeam,Team1.championStats.abilityHaste,Team1.championStats.abilityPower,Team1.championStats.armor,Team1.championStats.armorPen,Team1.championStats.armorPenPercent,Team1.championStats.attackDamage,Team1.championStats.attackSpeed,Team1.championStats.bonusArmorPenPercent,Team1.championStats.bonusMagicPenPercent,Team1.championStats.ccReduction,Team1.championStats.cooldownReduction,Team1.championStats.health,Team1.championStats.healthMax,Team1.championStats.healthRegen,Team1.championStats.lifesteal,Team1.championStats.magicPen,Team1.championStats.magicPenPercent,Team1.championStats.magicResist,Team1.championStats.movementSpeed,Team1.championStats.omnivamp,Team1.championStats.physicalVamp,Team1.championStats.power,Team1.championStats.powerMax,Team1.championStats.powerRegen,Team1.championStats.spellVamp,Team1.currentGold,Team1.damageStats.magicDamageDone,Team1.damageStats.magicDamageDoneToChampions,Team1.damageStats.magicDamageTaken,Team1.damageStats.physicalDamageDone,Team1.damageStats.physicalDamageDoneToChampions,Team1.damageStats.physicalDamageTaken,Team1.damageStats.totalDamageDone,Team1.damageStats.totalDamageDoneToChampions,Team1.damageStats.totalDamageTaken,Team1.damageStats.trueDamageDone,Team1.damageStats.trueDamageDoneToChampions,Team1.damageStats.trueDamageTaken,Team1.goldPerSecond,Team1.jungleMinionsKilled,Team1.level,Team1.minionsKilled,Team1.participantId,Team1.position.x,Team1.position.y,Team1.timeEnemySpentControlled,Team1.totalGold,Team1.xp,Team2.championStats.abilityHaste,Team2.championStats.abilityPower,Team2.championStats.armor,Team2.championStats.armorPen,Team2.championStats.armorPenPercent,Team2.championStats.attackDamage,Team2.championStats.attackSpeed,Team2.championStats.bonusArmorPenPercent,Team2.championStats.bonusMagicPenPercent,Team2.championStats.ccReduction,Team2.championStats.cooldownReduction,Team2.championStats.health,Team2.championStats.healthMax,Team2.championStats.healthRegen,Team2.championStats.lifesteal,Team2.championStats.magicPen,Team2.championStats.magicPenPercent,Team2.championStats.magicResist,Team2.championStats.movementSpeed,Team2.championStats.omnivamp,Team2.championStats.physicalVamp,Team2.championStats.power,Team2.championStats.powerMax,Team2.championStats.powerRegen,Team2.championStats.spellVamp,Team2.currentGold,Team2.damageStats.magicDamageDone,Team2.damageStats.magicDamageDoneToChampions,Team2.damageStats.magicDamageTaken,Team2.damageStats.physicalDamageDone,Team2.damageStats.physicalDamageDoneToChampions,Team2.damageStats.physicalDamageTaken,Team2.damageStats.totalDamageDone,Team2.damageStats.totalDamageDoneToChampions,Team2.damageStats.totalDamageTaken,Team2.damageStats.trueDamageDone,Team2.damageStats.trueDamageDoneToChampions,Team2.damageStats.trueDamageTaken,Team2.goldPerSecond,Team2.jungleMinionsKilled,Team2.level,Team2.minionsKilled,Team2.participantId,Team2.position.x,Team2.position.y,Team2.timeEnemySpentControlled,Team2.totalGold,Team2.xp
1,0,177,352,0,0,628,817,0,0,71,0,5720,9110,145,5,0,0,299,1821,0,0,12170,13388,111,0,3175,68589,10586,15259,168905,12276,20204,309326,24991,35617,71827,2125,152,50,107,50,425,15,54459,18759,441764,27130,31906,0,321,331,0,0,543,698,0,0,59,0,5273,9090,275,5,0,0,248,1911,0,0,3752,5874,295,0,3008,123969,14092,11610,119359,6394,24134,286602,20642,37871,43270,152,2125,50,100,47,421,40,58227,25880,1049805,24603,29860
1,0,185,446,0,0,551,618,0,0,0,0,8926,9271,124,3,0,0,217,1908,0,0,4394,5101,216,0,1759,53025,10176,11044,152205,16057,32221,248949,27387,44689,43718,1150,1419,50,86,45,344,15,23850,36382,1151250,24094,28001,0,152,302,0,0,706,845,0,0,49,0,8125,8309,223,8,0,0,231,1992,0,0,3592,4148,125,0,3899,49929,10310,11200,213247,22775,28879,302569,34509,41234,39388,1421,1149,50,95,46,402,40,44645,41057,395210,27729,30281
1,0,186,466,0,0,603,826,0,0,30,0,4766,9321,169,7,0,0,295,1918,0,0,2779,4060,450,0,4237,65292,16347,24821,123002,16936,27014,229396,33923,52756,41099,638,918,50,66,44,324,15,58117,13286,638738,26168,27119,0,332,368,0,0,574,793,0,0,30,0,5208,8767,122,7,0,0,239,1496,0,0,12671,15502,120,0,4301,114225,24574,17322,158990,15603,31008,316045,41098,48968,42826,918,638,50,104,49,389,40,39313,27933,730043,31166,31966
0,0,195,307,0,0,746,945,0,0,30,0,8176,8655,123,13,0,0,229,2140,0,0,3223,3635,190,0,1852,72015,12976,23956,180897,17776,26688,297189,31885,52132,44273,1129,1484,50,104,47,386,15,30790,24223,574770,28537,30031,0,464,468,0,0,512,635,0,0,0,0,8724,8971,106,7,18,0,231,2206,0,0,4885,6154,400,0,3608,160729,21699,13259,88760,13829,26660,302946,37017,41049,53454,1486,1128,50,107,48,385,40,43743,50106,957390,30368,32863
1,0,230,348,0,30,759,635,0,0,67,0,7306,9108,236,5,0,0,239,1900,0,0,4098,5108,200,0,1781,59493,13777,18617,198194,21583,30156,291737,37283,49539,34045,1919,764,50,95,47,392,15,43556,28191,642631,28091,30462,0,304,374,0,0,590,757,0,0,0,0,7325,9167,123,3,0,0,239,1872,0,0,3644,5395,190,0,1887,119181,17271,15152,101886,13650,33319,256454,31685,50395,35382,764,1918,50,83,46,370,40,49966,24051,725235,28765,29713
0,0,177,343,0,0,674,887,0,0,30,0,7314,9241,225,17,18,0,240,1960,0,0,1377,1814,220,14,4157,91667,13380,14675,160211,18569,32583,298742,34445,47797,46859,2493,536,50,92,46,393,15,57122,18432,570609,29237,29523,0,116,451,0,0,596,717,0,0,11,0,4607,8583,158,7,0,0,235,1860,0,0,3040,3636,205,0,4357,100793,13733,15129,121711,15487,34393,250655,30241,52665,28146,1017,3142,50,88,45,362,40,63592,22483,624787,25432,26804
1,0,323,407,0,0,558,775,0,0,63,0,5281,8579,377,3,18,0,248,2113,0,0,3600,4531,220,0,3559,113721,15803,13746,86908,9406,26337,240905,25835,41188,40272,625,1102,50,76,44,357,15,21187,29952,669580,27494,27318,0,179,367,0,0,606,798,0,0,73,0,6206,8418,139,14,0,0,294,2201,0,0,4354,5008,146,0,1137,67235,12530,16358,145019,15392,18463,248497,29025,35451,36239,1102,625,50,90,43,346,40,54002,45009,584964,26072,26578
0,0,231,396,0,0,586,1048,0,0,19,0,8346,9392,129,24,0,0,227,2049,0,0,1672,3256,198,0,4052,66094,11641,15897,167861,20858,31732,316497,34911,48421,82537,2406,790,50,82,47,383,15,55210,27710,562632,30667,30848,0,204,386,0,0,578,781,0,0,0,0,4338,8795,133,9,18,0,267,1903,0,0,2619,3278,175,0,2678,72426,14231,11640,112747,15522,29204,285159,30546,43256,99982,790,2406,50,91,46,368,40,54895,32448,419561,28198,29570
0,0,269,369,0,30,516,665,0,0,11,0,6067,8466,144,7,18,0,203,2112,0,0,2300,4191,217,0,4767,54623,11018,10354,98567,11493,23018,217995,23142,35584,64799,630,2209,50,61,46,375,15,43159,32708,353438,26982,28875,0,291,290,0,0,532,773,0,0,6,0,5443,7603,95,13,36,0,200,1994,0,0,2997,4478,346,0,4307,117484,10354,12880,112941,16385,25407,279572,28952,38920,49144,2209,630,50,102,45,379,40,41302,43276,700508,25532,27479
1,0,113,386,0,0,632,694,0,0,15,0,5433,9007,135,5,0,0,238,2082,0,0,2797,4207,262,0,3849,48148,11834,17783,138880,16322,28990,238103,31331,47965,51069,3172,1190,50,86,46,372,15,10405,50230,402822,27247,28472,0,204,430,0,0,607,757,0,0,77,0,6489,8554,355,3,0,0,226,2132,0,0,2010,3833,113,0,3653,92245,16394,12298,140047,18453,32471,272744,36037,47944,40447,1190,3172,50,77,45,391,40,23450,54880,848248,30680,29680
